timestamp,tempP_0,tempS_0,tempP_1,tempS_1,temp_chmbr
2026-05-22T02:08:47.253551,30.80, 17.60, 30.16, 16.54,35
2026-05-22T02:08:48.257561,30.32, 17.60, 29.69, 16.54,35
2026-05-22T02:08:49.260015,30.80, 17.60, 29.69, 16.54,35
2026-05-22T02:08:50.260622,30.80, 17.60, 30.16, 16.54,35
2026-05-22T02:08:51.263057,30.32, 17.11, 29.69, 16.54,35
2026-05-22T02:08:52.267051,30.80, 17.60, 29.69, 16.54,35
2026-05-22T02:08:53.270036,30.32, 17.60, 30.16, 16.54,35
2026-05-22T02:08:54.270650,30.80, 17.11, 30.16, 16.05,35
2026-05-22T02:08:55.273088,31.27, 17.60, 29.69, 16.54,35
2026-05-22T02:08:56.276046,30.32, 17.60, 30.16, 16.54,35
2026-05-22T02:08:57.280055,31.27, 17.11, 30.64, 16.05,35
2026-05-22T02:08:58.280650,30.80, 17.60, 29.69, 16.54,35
2026-05-22T02:08:59.283109,30.80, 17.60, 30.64, 17.03,35
2026-05-22T02:09:00.286094,31.75, 17.11, 30.16, 16.05,35
2026-05-22T02:09:01.290090,30.80, 17.11, 30.64, 16.05,35
2026-05-22T02:09:02.290690,31.27, 17.11, 30.16, 16.54,35
2026-05-22T02:09:03.293097,31.27, 17.11, 30.16, 16.54,35
2026-05-22T02:09:04.296124,30.80, 17.60, 29.69, 17.03,35
2026-05-22T02:09:05.300111,30.80, 17.60, 29.69, 16.54,35
2026-05-22T02:09:06.300706,30.80, 17.60, 30.64, 16.54,35
2026-05-22T02:09:07.302142,30.80, 17.60, 30.16, 17.03,35
2026-05-22T02:09:08.306119,31.27, 17.11, 30.16, 16.54,35
2026-05-22T02:09:09.309135,30.80, 17.60, 30.16, 16.54,35
2026-05-22T02:09:10.309773,30.80, 17.60, 30.16, 16.54,35
2026-05-22T02:09:11.312175,30.80, 18.08, 30.16, 16.05,35
2026-05-22T02:09:12.316162,31.27, 17.11, 30.64, 17.03,35
2026-05-22T02:09:13.319155,30.80, 17.60, 29.69, 17.03,35
2026-05-22T02:09:14.319871,30.80, 17.60, 30.16, 17.03,35
2026-05-22T02:09:15.322205,30.80, 17.60, 30.16, 17.03,35
2026-05-22T02:09:16.326179,30.80, 18.08, 30.16, 17.03,35
2026-05-22T02:09:17.329202,30.80, 18.08, 29.69, 17.03,35
2026-05-22T02:09:18.330181,30.80, 18.08, 30.16, 17.03,35
2026-05-22T02:09:19.332189,31.27, 17.60, 30.16, 16.54,35
2026-05-22T02:09:20.335198,30.80, 18.08, 29.69, 17.03,35
2026-05-22T02:09:21.339196,30.80, 17.60, 30.16, 17.03,35
2026-05-22T02:09:22.339797,31.27, 17.60, 30.16, 17.03,35
2026-05-22T02:09:23.342206,31.27, 17.60, 30.16, 17.03,35
2026-05-22T02:09:24.345234,31.27, 18.08, 30.64, 17.03,35
2026-05-22T02:09:25.349196,31.27, 17.60, 30.16, 17.03,35
2026-05-22T02:09:26.349792,31.75, 17.11, 30.16, 16.54,35
2026-05-22T02:09:27.352247,31.27, 18.57, 30.16, 17.03,35
2026-05-22T02:09:28.355250,31.27, 18.08, 29.69, 17.03,35
2026-05-22T02:09:29.359277,31.27, 18.08, 30.16, 17.03,35
2026-05-22T02:09:30.359858,31.75, 17.60, 30.64, 16.54,35
2026-05-22T02:09:31.361269,30.80, 18.08, 30.16, 17.03,35
2026-05-22T02:09:32.365258,31.27, 17.60, 30.16, 17.03,35
2026-05-22T02:09:33.368244,31.27, 18.08, 30.64, 16.54,35
2026-05-22T02:09:34.368809,30.80, 17.60, 30.64, 17.03,35
2026-05-22T02:09:35.371287,31.27, 18.08, 30.16, 17.51,35
2026-05-22T02:09:36.375284,30.80, 18.08, 30.16, 17.03,35
2026-05-22T02:09:37.378271,31.75, 17.11, 30.16, 16.54,35
2026-05-22T02:09:38.382260,30.80, 18.57, 30.16, 17.03,35
2026-05-22T02:09:39.382840,30.80, 18.08, 30.16, 17.03,35
2026-05-22T02:09:40.385328,31.75, 17.60, 30.16, 16.54,35
2026-05-22T02:09:41.388295,31.75, 17.60, 30.64, 16.05,35
2026-05-22T02:09:42.392829,31.27, 18.08, 30.16, 17.03,35
2026-05-22T02:09:43.393437,31.27, 17.60, 30.16, 17.03,35
2026-05-22T02:09:44.394278,31.75, 17.11, 30.64, 17.03,35
2026-05-22T02:09:45.398389,31.27, 17.60, 30.16, 17.03,35
2026-05-22T02:09:46.401295,31.27, 17.60, 30.16, 17.03,35
2026-05-22T02:09:47.401848,31.27, 17.60, 30.16, 17.03,35
2026-05-22T02:09:48.404355,31.27, 18.08, 30.16, 17.03,35
2026-05-22T02:09:49.408345,30.80, 17.60, 30.16, 17.03,35
2026-05-22T02:09:50.411339,31.75, 18.08, 30.16, 17.03,35
2026-05-22T02:09:51.411917,31.27, 17.11, 30.64, 17.51,35
2026-05-22T02:09:52.414350,31.75, 17.60, 30.64, 16.54,35
2026-05-22T02:09:53.418842,31.27, 18.08, 30.64, 17.03,35
2026-05-22T02:09:54.421347,31.27, 18.08, 30.16, 17.03,35
2026-05-22T02:09:55.421949,31.27, 18.08, 30.16, 17.51,35
2026-05-22T02:09:56.424392,31.27, 18.08, 30.64, 17.03,35
2026-05-22T02:09:57.427395,31.75, 18.08, 30.16, 17.51,35
2026-05-22T02:09:58.431353,31.27, 18.08, 30.16, 17.03,35
2026-05-22T02:09:59.431949,31.75, 17.60, 30.16, 17.51,35
2026-05-22T02:10:00.434417,32.22, 17.60, 30.64, 16.54,35
2026-05-22T02:10:01.437398,31.27, 18.08, 30.16, 17.03,35
2026-05-22T02:10:02.441388,31.75, 17.60, 30.16, 17.03,35
2026-05-22T02:10:03.441990,31.27, 17.60, 30.64, 17.51,35
2026-05-22T02:10:04.444452,31.27, 18.08, 30.64, 17.03,35
2026-05-22T02:10:05.447453,31.27, 17.60, 30.16, 17.03,35
2026-05-22T02:10:06.451442,31.27, 18.57, 30.16, 17.03,35
2026-05-22T02:10:07.452004,31.75, 17.60, 31.11, 16.54,35
2026-05-22T02:10:08.453478,31.27, 18.08, 30.64, 16.54,35
2026-05-22T02:10:09.457470,31.27, 18.08, 30.16, 17.51,35
2026-05-22T02:10:10.460462,31.27, 18.08, 30.16, 17.51,35
2026-05-22T02:10:11.461018,31.75, 18.08, 30.64, 17.03,35
2026-05-22T02:10:12.463500,32.22, 18.08, 30.64, 17.51,35
2026-05-22T02:10:13.467500,31.27, 18.08, 30.16, 17.51,35
2026-05-22T02:10:14.470477,31.75, 17.60, 31.11, 16.54,35
2026-05-22T02:10:15.471023,31.75, 18.08, 30.64, 17.03,35
2026-05-22T02:10:16.473512,31.27, 18.08, 30.16, 17.51,35
2026-05-22T02:10:17.477512,31.27, 18.57, 30.64, 17.51,35
2026-05-22T02:10:18.480487,31.75, 17.60, 31.11, 16.54,35
2026-05-22T02:10:19.481043,31.75, 17.60, 30.64, 17.03,35
2026-05-22T02:10:20.483554,31.75, 18.57, 30.64, 17.03,35
2026-05-22T02:10:21.486543,31.75, 18.08, 30.64, 17.03,35
2026-05-22T02:10:22.491023,31.75, 18.08, 30.64, 17.03,35
2026-05-22T02:10:23.491630,31.75, 18.57, 30.16, 17.03,35
2026-05-22T02:10:24.493564,31.27, 18.57, 30.64, 17.51,35
2026-05-22T02:10:25.496547,31.75, 18.08, 31.11, 17.03,35
2026-05-22T02:10:26.500544,31.75, 18.08, 30.64, 17.51,35
2026-05-22T02:10:27.501130,31.27, 18.08, 30.64, 17.03,35
2026-05-22T02:10:28.503572,31.75, 18.08, 30.64, 17.03,35
2026-05-22T02:10:29.506580,31.75, 18.08, 30.64, 17.03,35
2026-05-22T02:10:30.510563,31.27, 18.08, 30.64, 17.03,35
2026-05-22T02:10:31.513515,32.22, 18.08, 31.11, 16.54,35
2026-05-22T02:10:32.514080,31.75, 18.57, 30.16, 17.51,35
2026-05-22T02:10:33.516600,31.75, 17.60, 31.11, 17.51,35
2026-05-22T02:10:34.519604,31.27, 18.57, 30.64, 17.51,35
2026-05-22T02:10:35.523536,31.75, 18.08, 31.11, 17.51,35
2026-05-22T02:10:36.524120,32.22, 18.08, 31.11, 17.03,35
2026-05-22T02:10:37.526625,31.27, 18.57, 30.64, 17.51,35
2026-05-22T02:10:38.529610,31.75, 18.57, 30.64, 17.51,35
2026-05-22T02:10:39.533596,31.75, 18.08, 31.11, 17.03,35
2026-05-22T02:10:40.534135,32.22, 18.08, 31.11, 16.54,35
2026-05-22T02:10:41.536639,31.75, 18.57, 30.64, 17.51,35
2026-05-22T02:10:42.539632,31.75, 17.60, 31.11, 17.51,35
2026-05-22T02:10:43.543587,31.75, 18.57, 30.64, 17.51,35
2026-05-22T02:10:44.544029,31.75, 18.08, 30.64, 17.51,35
2026-05-22T02:10:45.546641,31.75, 18.57, 30.64, 17.51,35
2026-05-22T02:10:46.549669,31.75, 18.57, 30.64, 17.51,35
2026-05-22T02:10:47.552651,31.75, 18.57, 30.64, 17.51,35
2026-05-22T02:10:48.553237,32.22, 18.57, 31.11, 17.51,35
2026-05-22T02:10:49.555679,31.75, 18.57, 30.64, 17.51,35
2026-05-22T02:10:50.559655,31.75, 18.57, 30.64, 17.51,35
2026-05-22T02:10:51.562657,32.22, 18.08, 31.11, 17.03,35
2026-05-22T02:10:52.563240,31.75, 18.57, 30.64, 17.51,35
2026-05-22T02:10:53.565709,31.75, 18.57, 30.64, 17.51,35
2026-05-22T02:10:54.569682,32.22, 18.57, 31.11, 17.03,35
2026-05-22T02:10:55.572681,31.75, 18.57, 30.64, 17.03,35
2026-05-22T02:10:56.573232,31.75, 18.08, 30.64, 17.03,35
2026-05-22T02:10:57.575712,31.75, 18.57, 30.64, 17.51,35
2026-05-22T02:10:58.578764,31.75, 18.57, 31.11, 17.03,35
2026-05-22T02:10:59.582753,31.75, 18.57, 30.64, 17.51,35
2026-05-22T02:11:00.583332,32.22, 18.08, 31.11, 17.03,35
2026-05-22T02:11:01.585745,31.75, 18.57, 30.64, 17.51,35
2026-05-22T02:11:02.588722,32.22, 18.08, 31.11, 17.03,35
2026-05-22T02:11:03.592713,31.75, 19.06, 30.64, 17.51,35
2026-05-22T02:11:04.593290,31.75, 18.57, 30.64, 17.51,35
2026-05-22T02:11:05.595741,31.75, 18.57, 30.64, 17.51,35
2026-05-22T02:11:06.598748,31.75, 18.57, 31.11, 17.51,35
2026-05-22T02:11:07.603220,31.75, 18.57, 31.11, 17.03,35
2026-05-22T02:11:08.603820,31.75, 18.57, 30.64, 17.51,35
2026-05-22T02:11:09.605775,31.75, 18.57, 30.64, 17.51,35
2026-05-22T02:11:10.608798,31.75, 18.57, 30.64, 18.00,35
2026-05-22T02:11:11.611839,31.75, 18.57, 30.64, 17.51,35
2026-05-22T02:11:12.616217,31.75, 18.57, 30.64, 17.51,35
2026-05-22T02:11:13.616803,32.22, 18.08, 31.11, 17.03,35
2026-05-22T02:11:14.618817,31.75, 18.57, 30.64, 17.51,35
2026-05-22T02:11:15.621800,31.75, 18.57, 30.64, 17.51,35
2026-05-22T02:11:16.625831,31.75, 18.57, 31.11, 17.51,35
2026-05-22T02:11:17.626228,31.75, 18.08, 30.64, 17.51,35
2026-05-22T02:11:18.628845,31.75, 18.57, 30.64, 18.00,35
2026-05-22T02:11:19.631836,32.22, 18.57, 30.64, 18.00,35
2026-05-22T02:11:20.635822,31.75, 19.06, 30.64, 17.51,35
2026-05-22T02:11:21.636405,31.75, 18.57, 30.64, 18.00,35
2026-05-22T02:11:22.638846,32.22, 18.57, 30.64, 17.51,35
2026-05-22T02:11:23.641838,32.22, 18.57, 31.11, 17.03,35
2026-05-22T02:11:24.644872,32.69, 18.08, 31.58, 17.03,35
2026-05-22T02:11:25.645424,32.22, 18.57, 31.11, 17.51,35
2026-05-22T02:11:26.647882,32.22, 18.57, 31.11, 17.51,35
2026-05-22T02:11:27.651876,32.22, 18.08, 31.11, 17.51,35
2026-05-22T02:11:28.654860,32.22, 18.08, 31.11, 17.51,35
2026-05-22T02:11:29.655425,31.75, 19.55, 30.64, 18.00,35
2026-05-22T02:11:30.657901,31.75, 18.57, 30.64, 17.51,35
2026-05-22T02:11:31.661894,31.75, 18.57, 31.11, 17.51,35
2026-05-22T02:11:32.665383,32.22, 18.08, 31.58, 17.51,35
2026-05-22T02:11:33.666005,31.75, 18.57, 31.11, 17.51,35
2026-05-22T02:11:34.667922,31.75, 18.57, 31.11, 17.51,35
2026-05-22T02:11:35.671902,32.22, 18.08, 31.58, 17.03,35
2026-05-22T02:11:36.674903,32.22, 19.06, 30.64, 17.03,35
2026-05-22T02:11:37.675509,31.75, 19.06, 31.11, 17.51,35
2026-05-22T02:11:38.677978,32.22, 18.57, 31.11, 17.51,35
2026-05-22T02:11:39.680952,32.22, 18.08, 31.11, 18.00,35
2026-05-22T02:11:40.684911,31.75, 19.06, 30.64, 18.00,35
2026-05-22T02:11:41.685529,31.75, 19.06, 31.11, 17.51,35
2026-05-22T02:11:42.687964,31.75, 19.06, 30.64, 17.51,35
2026-05-22T02:11:43.690959,31.75, 19.06, 30.64, 17.51,35
2026-05-22T02:11:44.694968,31.75, 19.06, 31.11, 18.00,35
2026-05-22T02:11:45.697953,31.75, 18.57, 31.11, 17.51,35
2026-05-22T02:11:46.698550,32.22, 18.08, 31.58, 17.03,35
2026-05-22T02:11:47.700995,31.75, 18.57, 31.11, 17.51,35
2026-05-22T02:11:48.704971,31.75, 18.57, 31.11, 18.00,35
2026-05-22T02:11:49.708441,31.75, 19.06, 30.64, 17.51,35
2026-05-22T02:11:50.709004,32.22, 18.57, 31.11, 18.00,35
2026-05-22T02:11:51.711002,32.22, 19.06, 31.11, 17.51,35
2026-05-22T02:11:52.713995,32.22, 18.57, 31.11, 17.51,35
2026-05-22T02:11:53.717995,32.22, 18.57, 31.11, 17.51,35
2026-05-22T02:11:54.718596,32.22, 18.57, 31.11, 18.00,35
2026-05-22T02:11:55.721052,32.22, 18.57, 31.11, 18.00,35
